NAME_1,CC_1,pop
Aceh,11,5407.9
SumateraUtara,12,15115.2
SumateraBarat,13,5640.6
Riau,14,6614.4
KepulauanRiau,21,2179.8
Jambi,15,3631.1
SumateraSelatan,16,8657.0
BangkaBelitung,19,1494.6
Bengkulu,17,2060.1
Lampung,18,9176.6
JakartaRaya,31,10680.0
JawaBarat,32,49405.8
Banten,36,12252.0
JawaTengah,33,37032.4
Yogyakarta,34,3761.9
JawaTimur,35,41150.0
KalimantanBarat,61,5541.4
KalimantanTengah,62,2741.1
KalimantanSelatan,63,4182.1
KalimantanTimur,64,3859.8
KalimantanUtara,64,727.8
SulawesiUtara,71,2659.5
Gorontalo,75,1192.7
SulawesiTengah,72,3066.1
SulawesiSelatan,73,9225.8
SulawesiBarat,76,1458.6
SulawesiTenggara,74,2701.7
Bali,51,4415.1
NusaTenggaraBarat,52,5473.7
NusaTenggaraTimur,53,5466.3
Maluku,81,1881.7
MalukuUtara,82,1319.3
PapuaBarat,91,1183.3
Papua,94,4418.6
